Date,Average_Wind_Speed,Average_Temperature,Fog_Ice_Freezing_Fog,Thunder,Smoke_or_Haze
2019-08-05,8.28,79.0,,,
2019-08-06,6.71,76.0,,,
2019-08-07,7.83,77.0,,,
2019-08-08,10.07,79.0,,1.0,
2019-08-09,5.82,73.0,,,
2019-08-10,5.37,74.0,,,
2019-08-11,7.38,74.0,,,
2019-08-12,4.92,76.0,1.0,,
2019-08-13,6.71,75.0,1.0,1.0,
2019-08-14,7.16,72.0,,,
2019-08-15,7.83,70.0,,,
2019-08-16,7.61,72.0,,,
2019-08-17,4.92,73.0,1.0,1.0,1.0
2019-08-18,7.83,74.0,1.0,1.0,
2019-08-19,4.7,76.0,,,
2019-08-20,3.8,74.0,1.0,1.0,
2019-08-21,6.26,73.0,,1.0,
2019-08-22,10.51,71.0,,,
2019-08-23,10.29,68.0,,,
2019-08-24,8.05,67.0,,,
2019-08-25,10.29,69.0,,,
2019-08-26,9.62,70.0,1.0,1.0,
2019-08-27,9.84,72.0,,,
2019-08-28,11.63,68.0,,,
2019-08-29,12.75,70.0,,,
2019-08-30,5.82,70.0,,,
2019-08-31,9.4,67.0,1.0,,
2019-09-01,4.47,67.0,1.0,,
2019-09-02,6.49,70.0,1.0,,
2019-09-03,12.3,72.0,1.0,1.0,
2019-09-04,8.95,68.0,,,
2019-09-05,4.92,64.0,,,
2019-09-06,11.18,67.0,,,
2019-09-07,8.28,66.0,,,
2019-09-08,8.28,65.0,,,
2019-09-09,7.61,67.0,,,
2019-09-10,9.4,78.0,,,
2019-09-11,9.17,80.0,1.0,1.0,
2019-09-12,8.05,72.0,1.0,1.0,
2019-09-13,11.86,73.0,1.0,1.0,
2019-09-14,7.61,67.0,,1.0,
2019-09-15,8.05,71.0,1.0,1.0,
2019-09-16,7.83,71.0,1.0,,1.0
2019-09-17,6.04,69.0,1.0,,
2019-09-18,7.38,71.0,,,
2019-09-19,5.59,72.0,,,
2019-09-20,3.8,74.0,,,
2019-09-21,12.08,75.0,1.0,,
2019-09-22,10.07,72.0,1.0,,
2019-09-23,8.95,67.0,,,
2019-09-24,12.08,67.0,,,
2019-09-25,12.75,70.0,,,
2019-09-26,8.95,65.0,,,
2019-09-27,10.51,63.0,1.0,1.0,
2019-09-28,13.65,61.0,1.0,1.0,
2019-09-29,7.61,61.0,1.0,,
2019-09-30,8.72,71.0,1.0,,
2019-10-01,10.07,79.0,,,
2019-10-02,10.51,66.0,1.0,1.0,
2019-10-03,10.29,61.0,1.0,1.0,
2019-10-04,10.96,52.0,,,
2019-10-05,9.4,55.0,1.0,,
2019-10-06,9.62,59.0,,,
2019-10-07,7.38,59.0,,,
2019-10-08,4.25,57.0,,,1.0
2019-10-09,7.83,60.0,,,
2019-10-10,8.72,62.0,1.0,,
2019-10-11,12.3,60.0,1.0,1.0,
2019-10-12,13.87,43.0,,,1.0
2019-10-13,10.51,45.0,,,
2019-10-14,6.93,45.0,,,
2019-10-15,10.51,50.0,1.0,,
2019-10-16,14.09,49.0,,,
2019-10-17,5.59,46.0,,,
2019-10-18,6.93,47.0,,,
2019-10-19,7.83,53.0,,,
2019-10-20,7.38,56.0,1.0,,
2019-10-21,15.66,56.0,1.0,,
2019-10-22,17.22,50.0,,,
2019-10-23,8.72,47.0,,,
2019-10-24,6.26,47.0,,,
2019-10-25,3.8,44.0,,,
2019-10-26,12.53,42.0,1.0,,1.0
2019-10-27,9.62,49.0,1.0,,
2019-10-28,3.8,47.0,1.0,,
2019-10-29,8.28,40.0,1.0,,
2019-10-30,12.3,36.0,1.0,,
2019-10-31,14.99,33.0,1.0,,
2019-11-01,9.62,31.0,1.0,,
2019-11-02,10.51,38.0,1.0,,
2019-11-03,7.83,39.0,,,
2019-11-04,10.74,48.0,,,
2019-11-05,7.61,38.0,,,
2019-11-06,11.41,39.0,1.0,,
2019-11-07,11.18,28.0,1.0,,
2019-11-08,7.16,23.0,,,1.0
2019-11-09,10.29,34.0,,,
2019-11-10,8.5,41.0,1.0,,
2019-11-11,16.78,28.0,1.0,,
2019-11-12,9.4,13.0,,,
2019-11-13,11.63,16.0,,,
2019-11-14,7.16,27.0,1.0,,
2019-11-15,6.04,27.0,,,
2019-11-16,5.37,33.0,1.0,,1.0
2019-11-17,6.49,33.0,1.0,,
2019-11-18,5.14,37.0,1.0,,
2019-11-19,2.91,37.0,1.0,,1.0
2019-11-20,6.49,41.0,1.0,,1.0
2019-11-21,14.76,47.0,1.0,,
2019-11-22,6.71,36.0,,,
2019-11-23,6.26,31.0,,,
2019-11-24,9.4,38.0,,,
2019-11-25,7.16,44.0,,,
2019-11-26,7.61,41.0,1.0,1.0,
2019-11-27,21.03,44.0,1.0,,
2019-11-28,8.28,34.0,1.0,,
2019-11-29,6.49,36.0,1.0,,
2019-11-30,13.2,37.0,1.0,1.0,
2019-12-01,10.07,39.0,1.0,,
2019-12-02,10.29,32.0,,,
2019-12-03,11.86,32.0,,,
2019-12-04,12.08,37.0,,,
2019-12-05,6.71,36.0,,,
2019-12-06,9.84,38.0,,,
2019-12-07,8.28,31.0,,,
2019-12-08,10.29,38.0,1.0,,1.0
2019-12-09,12.97,46.0,1.0,,
2019-12-10,11.86,22.0,,,
2019-12-11,7.38,18.0,1.0,,
2019-12-12,12.3,28.0,,,
2019-12-13,4.92,40.0,,,
2019-12-14,9.4,33.0,1.0,,
2019-12-15,6.04,24.0,1.0,,
2019-12-16,6.71,26.0,1.0,,
2019-12-17,10.74,25.0,,,1.0
2019-12-18,8.72,20.0,,,
2019-12-19,8.5,23.0,1.0,,
2019-12-20,5.59,30.0,1.0,,1.0
2019-12-21,7.61,38.0,,,
2019-12-22,10.07,40.0,,,
2019-12-23,7.61,42.0,1.0,,
2019-12-24,8.05,40.0,1.0,,1.0
2019-12-25,8.72,47.0,,,
2019-12-26,11.18,56.0,,,
2019-12-27,7.16,37.0,1.0,,
2019-12-28,6.93,34.0,1.0,1.0,1.0
2019-12-29,10.96,52.0,1.0,,
2019-12-30,17.67,38.0,1.0,,
2019-12-31,14.54,26.0,1.0,,
2020-01-01,11.86,28.0,,,
2020-01-02,11.63,42.0,,,
2020-01-03,6.04,38.0,,,
2020-01-04,9.17,32.0,1.0,,1.0
2020-01-05,13.87,31.0,,,
2020-01-06,9.62,34.0,,,
2020-01-07,10.74,34.0,,,
2020-01-08,11.18,24.0,,,
2020-01-09,16.11,32.0,,,
2020-01-10,11.41,46.0,1.0,,
2020-01-11,25.05,34.0,1.0,,
2020-01-12,6.49,26.0,1.0,,1.0
2020-01-13,8.28,31.0,1.0,,
2020-01-14,8.5,35.0,1.0,,
2020-01-15,8.05,32.0,1.0,,
2020-01-16,11.63,25.0,,,
2020-01-17,10.51,19.0,1.0,,
2020-01-18,15.88,29.0,1.0,,1.0
2020-01-19,12.97,9.0,,,
2020-01-20,6.71,21.0,,,
2020-01-21,7.61,21.0,,,
2020-01-22,12.3,27.0,,,
2020-01-23,7.61,32.0,1.0,,
2020-01-24,4.7,35.0,1.0,,
2020-01-25,8.28,33.0,1.0,,
2020-01-26,9.4,32.0,1.0,,
2020-01-27,5.82,30.0,1.0,,
2020-01-28,5.82,32.0,1.0,,
2020-01-29,4.7,32.0,,,1.0
2020-01-30,3.58,33.0,,,1.0
2020-01-31,5.37,34.0,1.0,,1.0
2020-02-01,11.41,36.0,1.0,,1.0
2020-02-02,14.32,41.0,,,
2020-02-03,9.62,39.0,,,
2020-02-04,21.7,36.0,,,
2020-02-05,12.75,30.0,1.0,,
2020-02-06,12.97,29.0,1.0,,
2020-02-07,7.83,30.0,,,
2020-02-08,6.26,32.0,,,
2020-02-09,10.07,31.0,1.0,,
2020-02-10,5.82,32.0,,,1.0
2020-02-11,9.62,31.0,1.0,,1.0
2020-02-12,5.37,30.0,1.0,,
2020-02-13,12.3,24.0,1.0,,
2020-02-14,7.83,6.0,,,
2020-02-15,12.75,18.0,,,
2020-02-16,3.58,30.0,1.0,,
2020-02-17,9.17,35.0,1.0,1.0,1.0
2020-02-18,13.65,37.0,1.0,,
2020-02-19,8.72,25.0,,,
2020-02-20,8.95,19.0,,,
2020-02-21,12.75,21.0,,,
2020-02-22,13.65,36.0,,,
2020-02-23,10.51,43.0,,,
2020-02-24,12.3,41.0,,,
2020-02-25,23.26,38.0,1.0,,
2020-02-26,16.11,31.0,1.0,,1.0
2020-02-27,9.84,27.0,,,
2020-02-28,9.17,24.0,,,
2020-02-29,8.95,26.0,,,
2020-03-01,12.97,41.0,,,
2020-03-02,5.82,46.0,,,
2020-03-03,11.41,38.0,,,
2020-03-04,7.83,42.0,,,
2020-03-05,14.32,42.0,,,
2020-03-06,14.32,37.0,,,
2020-03-07,10.74,35.0,,,
2020-03-08,16.55,51.0,,,
2020-03-09,15.66,55.0,1.0,,
2020-03-10,8.28,46.0,1.0,,
2020-03-11,5.82,39.0,1.0,,1.0
2020-03-12,10.74,44.0,1.0,,1.0
2020-03-13,14.09,44.0,,,
2020-03-14,12.3,39.0,1.0,,
